Id du produit;Actif;Titre;ID de la catégorie par défaut;Prix vente HT;ID taxe;Prix d'achat HT;En Solde;Montant de réduction;Pourcentage de réduction;Date de début de réduction (aaaa-mm-jj);Date de fin de réduction (aaaa-mm-jj);Référence du produit;Référence du fournisseur par défaut;Nom du fournisseur par défaut;Fabricant;EAN13;UPC;écotaxe;Largeur;Hauteur;Profondeur;Quantité;Quantité minimale;Visibilité;Frais de port supplémentaires;Unité;Prix à l'unité HT;Description courte;Description;Tous les mots-clés;Meta titre;Meta mots-clefs;Meta description;URL simplifiée;Message quand en stock;Message lorsque hors-stock mais commandable;Disponible à l'achat;Date de mise à jour;Date de création;Afficher le prix ;URLs de toutes les images;Caractéristiques;Condition;Produit à télécharger;En cas de rupture de stock;ID Boutique par défaut;Gestion des stocks avancée
1084;1;MGD Casque HX 215 CLOUD;447;117.36;1;0;1;;0.5;;;MGD X14057;;Motogoodeal;IXS;;;;;;;0;1;both;0;;0;;;ixs,casque,polycarbonate,vision solaire,pare-soleil,intégral,pinlock;;;;casque-hx-215-cloud;En Stock;Plus disponible;1;11.08.2016 15:52;05.02.2015 16:42;1;http://www.motogoodeal.ch/2032/casque-hx-215-cloud.jpg,http://www.motogoodeal.ch/2033/casque-hx-215-cloud.jpg,http://www.motogoodeal.ch/2034/casque-hx-215-cloud.jpg,http://www.motogoodeal.ch/2035/casque-hx-215-cloud.jpg,http://www.motogoodeal.ch/2036/casque-hx-215-cloud.jpg;"Type de casque:Intégral:1;Couleur:noir mat-blanc:2;Genre:Unisexe:3;Coque:Polycarbonate:4;Fabricant:IXS:5;Ecran anti-buée:Non:6;Cache-nez:Oui:7;Double écran solaire:Oui:8;Intérieur démontable et lavable:Oui:9;Livré avec une housse:Oui:10;Ecran anti-rayures:Non:11;Jugulaire:Boucle micrométrique:12;Poids:1500g (+/- 50g):13";Neuf;0;2;1;0
83421;1;MGD Long Range DS;447;240.14;1;0;1;;0.5;;;MGD ;;Honda Suisse;Alpinestars;;;;;;;1;1;both;0;;0;<p>Le pantalon moto Alpinestars LONG RANGE 2 DRYSTAR® s'utilise toute l'année grâce à sa doublure thermique et sa membrane Drystar® étanche et respirante pour l'automne et l'hiver, et ses multiples aérations pour l'été. Un incontournable pour ceux qui roulent toute l'année</p>;<p>o Membrane Alpinestars Drystar, 100% imperméable et respirante, est amovible<br /> o Doublure interne matelassée avec élèment vertical amovible<br /> o Genou et entre-jambe en tissu renforcé et résistant à l'abrasion<br /> o Rembourrage sur les hanchesconfort<br /> o Prises d'air latérales au niveau des hanches et des cuisses, avec panneaux mesh invisibles et fermetures automatiques</p>;;;;;long-range-ds;;;1;11.08.2016 15:51;22.06.2016 17:19;1;http://www.motogoodeal.ch/86832/long-range-ds.jpg,http://www.motogoodeal.ch/86833/long-range-ds.jpg;Matière:Textile:1;Neuf;0;2;1;0
83466;1;MGD Pantalon Alpinestars TRACK;447;342.87;1;0;1;;0.5;;;MGD;;Honda Suisse;Alpinestars;;;;;;;1;1;both;0;;0;<p>Un modèle à vocation sportive qui allie parfaitement le textile et le cuir, afin de garantir à son propriétaire un excellent confort et une sécurité maximale. Doté de protections homologuées et amovibles, ainsi que de zones stretch en Kevlar, ce pantalon vous offrira une souplesse et une ventilation optimale. </p>;<p>Il peut également être connecté à pratiquement toutes les vestes Alpinestars grâce à sa fermeture éclair.</p> <p>o Fabriqué en cuir pleine fleur souple et ventilé<br /> o Utilisable aussi bien en condition urbaine que sportive<br /> o Nombreuses coutures pour une meilleure résistance aux chocs et aux déchirures<br /> o Soufflets en cuir accordéon et stretch en Kevlar pour une meilleure souplesse<br /> o Renfort de mousse au niveau des hanches<br /> o Sliders des genoux intercheangeables<br /> o Raccordement pantalon par zip</p>;alpinestars,pas cher,cuir,Pantalon,pantalon de moto en cuir,track,pantalon de moto,pantalon en cuir,pantalon de moto pas cher en sui;;pantalon,alpinestars,track,noir-blanc,panmtalon de mot,suisse,pas cher;;pantalon-alpinestars-track;Disponible sous 3 jours;Plus disponible;1;11.08.2016 15:52;23.06.2016 16:30;1;http://www.motogoodeal.ch/86892/pantalon-alpinestars-track.jpg;"Couleur:noir-blanc:1;Genre:Homme:2;Fabricant:Alpinestars:3;Etanchéité:Etanche:4;Matière:Cuir:5";Neuf;0;2;1;0
83470;1;MGD Combinaison Alpinestars GP PRO (2 PIÈCES) noir/blanc/rouge;447;647.5;1;0;1;;0.5;;;MGD2015;911108;;Alpinestars;;;;;;;0;1;both;0;;0;<p>La combinaison en cuir Alpinestars SP-1 est le compromis idéal pour les pilotes exigeants</p>;<ul><li>Combinaison racing</li> <li>Fabriqué en cuir pleine fleur 1.3mm</li> <li>Multiples panneaux stretch aramide</li> <li>Doublure mesh 3D, amovible</li> </ul>;alpinestars,moto,cuir,homme,sport,sécurité,confort,qualité,protection,petit prix;;combinaison,circuit,sport,homme,alpinestars,moto,motard,petit prix,déstockage,action,confort,sécurité,qualité,haut de gamme,offre spéciale;La combinaison en cuir Alpinestars SP-1 est le compromis idéal pour les pilotes exigeants;combinaison-alpinestars-gp-pro-2-pieces;Disponible sous 4 jours;Plus disponible;1;11.08.2016 15:52;23.06.2016 16:41;1;http://www.motogoodeal.ch/86898/combinaison-alpinestars-gp-pro-2-pieces.jpg,http://www.motogoodeal.ch/86899/combinaison-alpinestars-gp-pro-2-pieces.jpg;"Couleur:noir-blanc-rouge:1;Genre:Homme:2;Fabricant:Alpinestars:3;Matière:Cuir:4;Bosse aérodynamique:Oui:5";Neuf;0;2;1;0
83491;1;MGD GOPRO Hero4 Silver;447;284.54;1;0;1;;0.5;;;MGD 413-047-4020;;Motogoodeal;GoPro;;;;;;;6;1;both;0;;0;;;;;;;gopro-hero4-silver;En Stock;Plus disponible;1;11.08.2016 15:52;23.06.2016 21:25;1;http://www.motogoodeal.ch/86924/gopro-hero4-silver.jpg;;Neuf;0;2;1;0
83610;1;MGD Casque HJC FG-70S BLACK;447;132.59;1;0;1;;0.5;;;MGD 107H16 02;;Motogoodeal;HJC;;;;;;;1;1;both;0;;0;;;moto,casque,homme,femme,jet,vision solaire,pare-soleil,sécurité,confortable,kevlar;;;;casque-hjc-fg-70s-black;En Stock;Plus disponible;1;11.08.2016 15:52;24.06.2016 15:17;1;http://www.motogoodeal.ch/87091/casque-hjc-fg-70s-black.jpg,http://www.motogoodeal.ch/87092/casque-hjc-fg-70s-black.jpg,http://www.motogoodeal.ch/87093/casque-hjc-fg-70s-black.jpg,http://www.motogoodeal.ch/87094/casque-hjc-fg-70s-black.jpg;"Type de casque:Jet:1;Couleur:Noir:2;Genre:Unisexe:3;Coque:fibre de verre et kevlar:4;Fabricant:HJC:5;Ecran anti-buée:Non:6;Cache-nez:Non:7;Double écran solaire:Oui:8;Intérieur démontable et lavable:Oui:9;Livré avec une housse:Oui:10;Ecran anti-rayures:Non:11;Jugulaire:Boucle micrométrique:12;Poids:1100g (+/- 50g):13";Neuf;0;2;1;0
83630;0;MGD Bottes Bering Lady Tera;447;132.59;1;0;0;;0.5;;;MGD;;;Bering;;;;;;;1;1;both;0;;0;<p>Bottes femmes en cuir permettant d'allier le style à la sécurité</p>;<ul><li>Construction en cuir synthétique</li> <li>Doublure de confort en Polyester</li> <li>Insert étanche et respirant</li> <li>Protection de sélecteur</li> <li>Zip d'enfilage sur le côté</li> <li>Sangle de serrage en haut pour dissimuler les lacets</li> <li>Réfléchissants sur l'arrière</li> <li>Semelle avec un vrai talon</li> </ul>;botte,moto,cuir,femme,sécurité,bering,confort,étanche,Dame,qualité;;bering,botte,femme,dame,cuir,waterproof,étanche,synthétique,doublure,respirante,moto,motarde,scooter,scootériste,confort,qualitlé,style,classe,design,mode,nouveau,nouveauté,2015;Bottes femmes en cuir permettant d'allier le style à la sécurité;bottes-bering-lady-tera;Disponible dès le 14 mai;Délai sur demande;1;11.08.2016 15:52;27.06.2016 16:35;1;http://www.motogoodeal.ch/87168/bottes-bering-lady-tera.jpg,http://www.motogoodeal.ch/87169/bottes-bering-lady-tera.jpg,http://www.motogoodeal.ch/87170/bottes-bering-lady-tera.jpg,http://www.motogoodeal.ch/87171/bottes-bering-lady-tera.jpg;"Couleur:noir-rose:1;Genre:Femme:2;Fabricant:Bering:3;Etanchéité:Etanche:4;Matière:Cuir:5;Saisonnalité:Toutes saisons:6;Gore-Tex:Non:7";Neuf;0;2;1;0
83654;1;Casque Shark S600 QR CODE;447;77.41;1;0;1;;0.5;;;HE2345EKPKM;;;Shark;;;;;;;0;1;both;0;;0;<p>Le Shark S600 est parfait pour ceux qui recherchent efficacité et qualité à un prix très concurrentiel.</p>;<ul><li>Calotte en résine thermoplastique injectée</li> <li>Intérieur entièrement démontable et lavable</li> <li>Casque à prix déstockage</li> </ul>;moto,casque,homme,femme,shark,sécurité,confort,été,qualité,petit prix;;casque.intégral,shark,petit prix,déstockage,action,soldes,qualité,sécurité,confort,moto,motard,scooter,scootériste,nouveau,nouveauté,2015,homme,femme,shark;Le Shark S600 est parfait pour ceux qui recherchent efficacité et qualité à un prix très concurrentiel;casque-shark-s600-qr-code;Disponible sous 4 jours;Délai sur demande;1;11.08.2016 15:52;28.06.2016 15:02;1;http://www.motogoodeal.ch/87208/casque-shark-s600-qr-code.jpg;"Couleur:Deco:1;Genre:Unisexe:2;Coque:Polycarbonate:3;Fabricant:Shark:4";Neuf;0;2;1;0
83656;0;MGD Casque Shark Evo One Astor;447;367.36;1;0;0;;0.5;;;HE9405EWKA;;;Shark;;;;;;;2;1;both;0;;0;"<p align=""left"">Innovation majeure dans la gamme EVO de SHARK, sa compacité et l'ensemble de ses caractéristiques techniques le placent déjà comme l'un des plus grands succès de la gamme SHARK.</p>";"<p align=""left""> </p> <ul><li>2 tailles de calotte</li> <li>Pinlock Maxvision fourni</li> <li>Systèm autoseal : plaque l'écran sur le casque, permet une meilleure insonorisation et rend le casque étanche (eau et froid)</li> <li>Auto-up et auto-down system: remontée automatique de l'écran lorsqu'on relève ou descend la mentonnière.</li> <li>Ecran pare-soleil 23% plus grand que celui d'EvoLine</li> </ul><p><span style=""font-size:xx-small;"">o </span><span style=""font-size:xx-small;"">Poids : 1610 g </span></p>";casque,modulable,shark,2016,NOUVEAUTES,EVO ONE,CASQUE SHARK EVO ONE,OMOLOGUER;;casque,shark,evo one,nouveauté,2016,modulable,suisse,genève,site de vente en ligne à genève en suisse;moto, casque, shark, evo , nouveautés, 2016,;casque-shark-evo-one-blank-mat;;Délais sur demande;1;11.08.2016 15:52;28.06.2016 15:13;1;http://www.motogoodeal.ch/87210/casque-shark-evo-one-blank-mat.jpg;"Type de casque:Modulable:1;Couleur:blanc-noir:2;Genre:Unisexe:3;Coque:Thermoplastique:4;Fabricant:Shark:5;Ecran anti-buée:Oui:6;Double écran solaire:Oui:7;Intérieur démontable et lavable:Oui:8;Livré avec une housse:Oui:9;Ecran anti-rayures:Oui:10;Jugulaire:Boucle micrométrique:11;Poids:1610:12";Neuf;0;2;1;0
83661;1;MGD Casque Shark EVOLINE SERIE 3;447;297.92;1;0;0;;0.5;;;MGD ;;Philipe Coulon;Shark;;;;;;;3;1;both;0;;0;"<p>La quantité de travail sans précédent accomplie par Shark a permis de perfectionner l'Evoline series3 par un nouveau système ""Auto-up"", ouverture simultanée mentonnière/écran, une meilleure insonorisation et une aérodynamique performante en mode intégral comme en mode jet</p>";"<ul><li>Système EASYFIT pour une utilisation confortable avec des lunettes</li> <li>Système « Auto-up » : déverrouillage semi-automatique simultané de l'écran et de la mentonnière</li> <li>Aérodynamique améliorée, en particulier en <a title=""Click to Continue &gt; by shopndrop"" href=""http://www.motogoodeal.ch/fr/home/408-casque-shark-evoline-serie-3-hakka.html#"">position</a> ouverte.</li> <li>Nouveau design plus silencieux et ventilation intérieure améliorée</li> <li><a title=""Click to Continue &gt; by shopndrop"" href=""http://www.motogoodeal.ch/fr/casques/3-casque-shark-evoline-serie-3-moovit-mat.html#"">Double</a> homologation, en position ouverte et fermée </li> <li>Nouvel intérieur confortable avec des tissus lavables de haute qualité</li> <li>Poids: 1715g</li>";;;casque,modulable,noir mat,shark,evoline;casque modulable shark;casque-shark-evoline-serie-3-mat;Disponible sous 4 jours;;1;11.08.2016 15:52;28.06.2016 15:25;1;http://www.motogoodeal.ch/87217/casque-shark-evoline-serie-3-mat.jpg,http://www.motogoodeal.ch/87218/casque-shark-evoline-serie-3-mat.jpg;"Type de casque:Modulable:1;Couleur:noir-mat:2;Genre:Unisexe:3;Coque:Polycarbonate:4;Ecran anti-buée:Oui:5;Cache-nez:Oui:6;Double écran solaire:Oui:7;Intérieur démontable et lavable:Oui:8;Livré avec une housse:Oui:9;Ecran anti-rayures:Oui:10;Jugulaire:Boucle micrométrique:11";Neuf;0;2;1;0
